Modelo,Ano,Preço,KM,Estado
 Chevrolet Cruze LTZ SPORT6 ,2013, R$ 61.299 ,107290,Minas Gerais
 Ford Ka + SIGMA SE ,2018, R$ 47.799 ,76000,Minas Gerais
 Ford Focus SE ,2015, R$ 53.999 ,86490,Minas Gerais
 Ford Focus S SEDAN ,2015, R$ 54.499 ,64440,Minas Gerais
 Nissan Kicks START S ,2018, R$ 79.499 ,79080,Minas Gerais
 Citroën C4 Lounge THP ORIGINE BVA ,2018, R$ 60.799 ,86730,Minas Gerais
 Hyundai HB20S COMFORT PLUS ,2019, R$ 69.299 ,51850,Minas Gerais
 Renault Duster DYNAMIQUE ,2016, R$ 60.799 ,77660,Minas Gerais
 Volkswagen Gol MPI TOTALFLEX ,2021, R$ 53.799 ,25901,Minas Gerais
 Suzuki Grand Vitara 4X2 AUTOMATICO GASOLINA ,2015, R$ 65.799 ,92770,Minas Gerais
 Volkswagen Gol MSI AUTOMATICO ,2021, R$ 70.299 ,10205,Minas Gerais
 Volkswagen Gol MSI TOTAL TRENDLINE ,2018, R$ 46.499 ,54372,Minas Gerais
 Chevrolet Prisma MPFI LT ,2017, R$ 54.799 ,89840,Minas Gerais
 Jeep Compass S ,2021, R$ 187.499 ,19000,Minas Gerais
 Ford Eco Sport TITANIUM ,2013, R$ 51.299 ,99580,Minas Gerais
 Volkswagen Voyage MSI TOTAL ,2020, R$ 55.299 ,33165,Minas Gerais
 Land Rover Range Rover Evoque DYNAMIC TECH COUPE 4WD ,2012, R$ 101.299 ,91040,Minas Gerais
 Ford Focus S SEDAN ,2014, R$ 49.999 ,95350,Minas Gerais
 Bmw X1 TURBO ACTIVE SDRIVE20I ,2018, R$ 154.999 ,52820,Minas Gerais
 Fiat Toro EVO FREEDOM OPEN EDITION PLUS ,2017, R$ 87.499 ,66440,Minas Gerais
 Ford Focus SE PLUS SEDAN ,2014, R$ 49.799 ,104695,Minas Gerais
 Ford Ka + SIGMA SE PLUS ,2015, R$ 40.799 ,89783,Minas Gerais
 Peugeot 208 ACTIVE PACK ,2021, R$ 78.799 ,25000,Minas Gerais
 Volkswagen Gol MI CITY ,2015, R$ 35.299 ,98790,Minas Gerais
 Peugeot 2008 GRIFFE ,2018, R$ 73.499 ,45450,Minas Gerais
 Renault Duster SCE EXPRESSION ,2020, R$ 74.299 ,42550,Minas Gerais
 Honda Hr-V EX ,2016, R$ 85.299 ,72490,Minas Gerais
 Chevrolet Cruze LT ,2013, R$ 51.299 ,99390,Minas Gerais
 Mitsubishi ASX AUTOMATICO FLEX ,2018, R$ 93.999 ,50000,Minas Gerais
 Hyundai Creta 1 MILLION ,2019, R$ 96.799 ,40000,Minas Gerais
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 72.499 ,54632,Minas Gerais
 Volkswagen Gol MI TRENDLINE ,2016, R$ 41.299 ,81873,Minas Gerais
 Hyundai ix35 MPFI GLS ,2015, R$ 76.499 ,83530,Minas Gerais
 Peugeot 2008 ALLURE ,2017, R$ 57.799 ,106480,Minas Gerais
 Volkswagen Voyage MI COMFORTLINE ,2016, R$ 44.299 ,100580,Minas Gerais
 Renault Duster DYNAMIQUE ,2016, R$ 61.499 ,51270,Minas Gerais
 Toyota Corolla GLI ,2017, R$ 83.499 ,55719,São Paulo
 Mercedes Benz C 300 CGI ANNIV EDITION 7G-TRONIC ,2017, R$ 191.299 ,47590,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.799 ,62468,São Paulo
 Nissan Kicks START SL ,2017, R$ 81.999 ,80482,São Paulo
 Nissan Kicks START SV ,2019, R$ 87.799 ,53963,São Paulo
 Ford Eco Sport SE ,2017, R$ 61.799 ,82972,São Paulo
 Renault Captur SCE INTENSE ,2019, R$ 81.999 ,43553,São Paulo
 Bmw X1 TURBO ACTIVE SDRIVE20I ,2018, R$ 154.799 ,57598,São Paulo
 Honda City LX ,2015, R$ 61.499 ,92130,São Paulo
 Mitsubishi ASX AUTOMATICO FLEX ,2018, R$ 94.499 ,38600,São Paulo
 Bmw 320i M SPORT GP TURBO ACTIVE ,2017, R$ 140.499 ,96989,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 72.299 ,69100,São Paulo
 Hyundai HB20X STYLE ,2019, R$ 69.299 ,37400,São Paulo
 Nissan Kicks START SL ,2018, R$ 85.799 ,61264,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 70.299 ,109690,São Paulo
 Volkswagen Gol MPI TOTAL ,2019, R$ 47.799 ,48000,São Paulo
 Hyundai HB20S COMFORT PLUS ,2019, R$ 65.299 ,26540,São Paulo
 Ford Eco Sport FREESTYLE ,2017, R$ 65.799 ,44707,São Paulo
 Hyundai Creta ATTITUDE ,2018, R$ 82.999 ,27600,São Paulo
